"½ÃÁ¡","À¾¸éµ¿º°(1)",¼¼´ë¼ö,µî·ÏÀÎ±¸,µî·ÏÀÎ±¸,µî·ÏÀÎ±¸,µî·ÏÀÎ±¸,µî·ÏÀÎ±¸,µî·ÏÀÎ±¸,µî·ÏÀÎ±¸,µî·ÏÀÎ±¸,µî·ÏÀÎ±¸
"2021.02","±ÝÃÌ1µ¿",12242,22927,12119,10808,22346,11854,10492,581,265,316
"2021.02","±ÝÃÌ2µ¿",13108,33379,16303,17076,33125,16203,16922,254,100,154
"2021.02","±ÝÃÌ3µ¿",11433,27882,14324,13558,27443,14072,13371,439,252,187
"2021.03","ÇÕ°è",202279,478862,244853,234009,468501,237528,230973,10361,7325,3036
"2021.03","¹®»êÀ¾",21569,49058,25142,23916,48286,24709,23577,772,433,339
"2021.03","Á¶¸®À¾",12948,31072,16077,14995,29980,15244,14736,1092,833,259
"2021.03","¹ý¿øÀ¾",5600,11152,6102,5050,10545,5635,4910,607,467,140
"2021.03","ÆÄÁÖÀ¾",7149,13902,7644,6258,13148,7026,6122,754,618,136
"2021.03","±¤Åº¸é",5996,12975,7577,5398,11334,6184,5150,1641,1393,248
"2021.03","ÅºÇö¸é",7119,14226,7985,6241,13273,7197,6076,953,788,165
"2021.03","¿ù·Õ¸é",6620,9642,6324,3318,9009,5763,3246,633,561,72
"2021.03","Àû¼º¸é",3712,7749,4235,3514,7511,4050,3461,238,185,53
"2021.03","ÆÄÆò¸é",2083,4070,2204,1866,3872,2036,1836,198,168,30
"2021.03","Áøµ¿¸é",74,166,92,74,166,92,74,0,0,0
"2021.03","±³ÇÏµ¿",16704,43063,22070,20993,42187,21409,20778,876,661,215
"2021.03","¿îÁ¤1µ¿",18796,48985,23964,25021,48561,23740,24821,424,224,200
"2021.03","¿îÁ¤2µ¿",23856,63223,30831,32392,62975,30751,32224,248,80,168
"2021.03","¿îÁ¤3µ¿",33156,85092,41698,43394,84430,41390,43040,662,308,354
"2021.03","±ÝÃÌ1µ¿",12177,22786,12062,10724,22217,11807,10410,569,255,314
"2021.03","±ÝÃÌ2µ¿",13072,33279,16252,17027,33029,16154,16875,250,98,152
"2021.03","±ÝÃÌ3µ¿",11432,27870,14315,13555,27427,14062,13365,443,253,190
"2021.04","ÇÕ°è",203450,480385,245627,234758,470096,238389,231707,10289,7238,3051
"2021.04","¹®»êÀ¾",21614,49090,25171,23919,48326,24747,23579,764,424,340
"2021.04","Á¶¸®À¾",12961,31018,16041,14977,29950,15231,14719,1068,810,258
"2021.04","¹ý¿øÀ¾",5589,11104,6073,5031,10500,5612,4888,604,461,143
"2021.04","ÆÄÁÖÀ¾",7205,14011,7692,6319,13253,7068,6185,758,624,134
"2021.04","±¤Åº¸é",5982,12900,7528,5372,11283,6160,5123,1617,1368,249
"2021.04","ÅºÇö¸é",7153,14258,8016,6242,13303,7232,6071,955,784,171
"2021.04","¿ù·Õ¸é",6644,9629,6329,3300,9012,5782,3230,617,547,70
"2021.04","Àû¼º¸é",3728,7736,4241,3495,7502,4062,3440,234,179,55
"2021.04","ÆÄÆò¸é",2084,4060,2200,1860,3866,2035,1831,194,165,29
"2021.04","Áøµ¿¸é",74,164,90,74,164,90,74,0,0,0
"2021.04","±³ÇÏµ¿",17067,43498,22280,21218,42622,21625,20997,876,655,221
"2021.04","¿îÁ¤1µ¿",19179,49764,24398,25366,49340,24177,25163,424,221,203
"2021.04","¿îÁ¤2µ¿",23896,63249,30844,32405,63002,30763,32239,247,81,166
"2021.04","¿îÁ¤3µ¿",33329,85382,41815,43567,84710,41502,43208,672,313,359
"2021.04","±ÝÃÌ1µ¿",12182,22755,12048,10707,22176,11782,10394,579,266,313
"2021.04","±ÝÃÌ2µ¿",13096,33314,16251,17063,33064,16154,16910,250,97,153
"2021.04","±ÝÃÌ3µ¿",11451,27899,14329,13570,27470,14086,13384,429,243,186
"2021.05","ÇÕ°è",204329,481402,246126,235276,471219,238960,232259,10183,7166,3017
"2021.05","¹®»êÀ¾",21627,49033,25132,23901,48278,24718,23560,755,414,341
"2021.05","Á¶¸®À¾",12989,31031,16060,14971,29969,15253,14716,1062,807,255
"2021.05","¹ý¿øÀ¾",5593,11101,6081,5020,10497,5618,4879,604,463,141
"2021.05","ÆÄÁÖÀ¾",7239,14056,7717,6339,13303,7094,6209,753,623,130
"2021.05","±¤Åº¸é",5993,12884,7514,5370,11295,6168,5127,1589,1346,243
"2021.05","ÅºÇö¸é",7167,14271,8034,6237,13326,7258,6068,945,776,169
"2021.05","¿ù·Õ¸é",6676,9656,6355,3301,9051,5815,3236,605,540,65
"2021.05","Àû¼º¸é",3744,7751,4255,3496,7521,4078,3443,230,177,53
"2021.05","ÆÄÆò¸é",2091,4061,2200,1861,3869,2037,1832,192,163,29
"2021.05","Áøµ¿¸é",74,163,90,73,163,90,73,0,0,0
"2021.05","±³ÇÏµ¿",17298,43763,22417,21346,42897,21769,21128,866,648,218
"2021.05","¿îÁ¤1µ¿",19373,50069,24572,25497,49637,24347,25290,432,225,207
"2021.05","¿îÁ¤2µ¿",23938,63330,30867,32463,63079,30788,32291,251,79,172
"2021.05","¿îÁ¤3µ¿",33501,85589,41860,43729,84931,41555,43376,658,305,353
"2021.05","±ÝÃÌ1µ¿",12203,22753,12051,10702,22190,11784,10406,563,267,296
"2021.05","±ÝÃÌ2µ¿",13109,33345,16258,17087,33092,16161,16931,253,97,156
"2021.05","±ÝÃÌ3µ¿",11496,27990,14383,13607,27566,14147,13419,424,236,188
"2021.06","ÇÕ°è",205132,482456,246624,235832,472260,239454,232806,10196,7170,3026
"2021.06","¹®»êÀ¾",21673,49151,25173,23978,48394,24758,23636,757,415,342
"2021.06","Á¶¸®À¾",13012,31043,16048,14995,29983,15245,14738,1060,803,257
"2021.06","¹ý¿øÀ¾",5603,11111,6090,5021,10506,5627,4879,605,463,142
"2021.06","ÆÄÁÖÀ¾",7260,14095,7738,6357,13345,7116,6229,750,622,128
"2021.06","±¤Åº¸é",6007,12874,7515,5359,11285,6168,5117,1589,1347,242
"2021.06","ÅºÇö¸é",7192,14299,8049,6250,13353,7276,6077,946,773,173
"2021.06","¿ù·Õ¸é",6819,9811,6501,3310,9201,5954,3247,610,547,63
"2021.06","Àû¼º¸é",3745,7750,4251,3499,7516,4070,3446,234,181,53
"2021.06","ÆÄÆò¸é",2090,4058,2202,1856,3867,2040,1827,191,162,29
"2021.06","Áøµ¿¸é",74,164,90,74,164,90,74,0,0,0
"2021.06","±³ÇÏµ¿",17397,43913,22470,21443,43049,21822,21227,864,648,216
"2021.06","¿îÁ¤1µ¿",19603,50395,24717,25678,49950,24487,25463,445,230,215
"2021.06","¿îÁ¤2µ¿",23969,63395,30890,32505,63144,30813,32331,251,77,174
"2021.06","¿îÁ¤3µ¿",33641,85782,41943,43839,85123,41641,43482,659,302,357
"2021.06","±ÝÃÌ1µ¿",12174,22708,12020,10688,22143,11751,10392,565,269,296
"2021.06","±ÝÃÌ2µ¿",13131,33336,16248,17088,33081,16150,16931,255,98,157
"2021.06","±ÝÃÌ3µ¿",11526,28018,14401,13617,27604,14168,13436,414,233,181
"2021.07","ÇÕ°è",206202,483801,247410,236391,473673,240306,233367,10128,7104,3024
"2021.07","¹®»êÀ¾",21695,49129,25174,23955,48375,24762,23613,754,412,342
"2021.07","Á¶¸®À¾",13038,31049,16026,15023,29996,15230,14766,1053,796,257
"2021.07","¹ý¿øÀ¾",5606,11131,6090,5041,10522,5627,4895,609,463,146
"2021.07","ÆÄÁÖÀ¾",7308,14206,7796,6410,13462,7178,6284,744,618,126
"2021.07","±¤Åº¸é",5994,12818,7475,5343,11256,6149,5107,1562,1326,236
"2021.07","ÅºÇö¸é",7235,14362,8082,6280,13410,7308,6102,952,774,178
"2021.07","¿ù·Õ¸é",7132,10115,6798,3317,9507,6254,3253,608,544,64
"2021.07","Àû¼º¸é",3744,7739,4254,3485,7507,4074,3433,232,180,52
"2021.07","ÆÄÆò¸é",2093,4055,2199,1856,3865,2037,1828,190,162,28
"2021.07","Àå´Ü¸é",290,716,366,350,715,366,349,1,0,1
"2021.07","±³ÇÏµ¿",17656,44455,22712,21743,43610,22081,21529,845,631,214
"2021.07","¿îÁ¤1µ¿",19744,50547,24828,25719,50098,24599,25499,449,229,220
"2021.07","¿îÁ¤2µ¿",24005,63429,30907,32522,63180,30831,32349,249,76,173
"2021.07","¿îÁ¤3µ¿",33794,86029,42025,44004,85377,41728,43649,652,297,355
"2021.07","±ÝÃÌ1µ¿",12194,22710,12033,10677,22138,11761,10377,572,272,300
"2021.07","±ÝÃÌ2µ¿",13137,33286,16229,17057,33031,16131,16900,255,98,157
"2021.07","±ÝÃÌ3µ¿",11537,28025,14416,13609,27624,14190,13434,401,226,175
"2021.08","ÇÕ°è",207632,486204,248555,237649,476044,241438,234606,10160,7117,3043
"2021.08","¹®»êÀ¾",21737,49170,25191,23979,48420,24780,23640,750,411,339
"2021.08","Á¶¸®À¾",13039,31002,16001,15001,29954,15210,14744,1048,791,257
"2021.08","¹ý¿øÀ¾",5606,11093,6056,5037,10486,5597,4889,607,459,148
"2021.08","ÆÄÁÖÀ¾",7349,14252,7810,6442,13505,7189,6316,747,621,126
"2021.08","±¤Åº¸é",6036,12876,7505,5371,11319,6183,5136,1557,1322,235
"2021.08","ÅºÇö¸é",7279,14413,8099,6314,13458,7322,6136,955,777,178
"2021.08","¿ù·Õ¸é",7230,10204,6870,3334,9586,6320,3266,618,550,68
"2021.08","Àû¼º¸é",3749,7744,4265,3479,7500,4077,3423,244,188,56
"2021.08","ÆÄÆò¸é",2110,4084,2217,1867,3888,2049,1839,196,168,28
"2021.08","Àå´Ü¸é",293,716,368,348,715,368,347,1,0,1
"2021.08","±³ÇÏµ¿",18550,46525,23728,22797,45678,23101,22577,847,627,220
"2021.08","¿îÁ¤1µ¿",19841,50617,24858,25759,50167,24626,25541,450,232,218
"2021.08","¿îÁ¤2µ¿",23955,63326,30849,32477,63072,30770,32302,254,79,175
"2021.08","¿îÁ¤3µ¿",33975,86289,42133,44156,85638,41836,43802,651,297,354
"2021.08","±ÝÃÌ1µ¿",12222,22704,12056,10648,22133,11785,10348,571,271,300
"2021.08","±ÝÃÌ2µ¿",13114,33150,16145,17005,32884,16044,16840,266,101,165
"2021.08","±ÝÃÌ3µ¿",11547,28039,14404,13635,27641,14181,13460,398,223,175
"2021.09","ÇÕ°è",208777,487998,249550,238448,477819,242418,235401,10179,7132,3047
"2021.09","¹®»êÀ¾",21784,49203,25223,23980,48447,24807,23640,756,416,340
"2021.09","Á¶¸®À¾",13032,30960,15971,14989,29909,15180,14729,1051,791,260
"2021.09","¹ý¿øÀ¾",5608,11070,6042,5028,10467,5586,4881,603,456,147
"2021.09","ÆÄÁÖÀ¾",7383,14288,7834,6454,13553,7222,6331,735,612,123
"2021.09","±¤Åº¸é",6052,12878,7508,5370,11330,6192,5138,1548,1316,232
"2021.09","ÅºÇö¸é",7307,14435,8098,6337,13472,7316,6156,963,782,181
"2021.09","¿ù·Õ¸é",7420,10393,7063,3330,9768,6507,3261,625,556,69
"2021.09","Àû¼º¸é",3745,7730,4263,3467,7487,4075,3412,243,188,55
"2021.09","ÆÄÆò¸é",2110,4075,2214,1861,3877,2045,1832,198,169,29
"2021.09","Àå´Ü¸é",296,717,369,348,716,369,347,1,0,1
"2021.09","±³ÇÏµ¿",19035,47607,24273,23334,46750,23641,23109,857,632,225
"2021.09","¿îÁ¤1µ¿",19948,50750,24912,25838,50306,24679,25627,444,233,211
"2021.09","¿îÁ¤2µ¿",23941,63263,30805,32458,63006,30724,32282,257,81,176
"2021.09","¿îÁ¤3µ¿",34067,86568,42264,44304,85901,41963,43938,667,301,366
"2021.09","±ÝÃÌ1µ¿",12330,22811,12130,10681,22234,11851,10383,577,279,298
"2021.09","±ÝÃÌ2µ¿",13164,33190,16163,17027,32927,16063,16864,263,100,163
"2021.09","±ÝÃÌ3µ¿",11555,28060,14418,13642,27669,14198,13471,391,220,171
"2021.10","ÇÕ°è",209651,489370,250262,239108,479183,243139,236044,10187,7123,3064
"2021.10","¹®»êÀ¾",21855,49290,25283,24007,48536,24874,23662,754,409,345
"2021.10","Á¶¸®À¾",13020,30907,15953,14954,29851,15160,14691,1056,793,263
"2021.10","¹ý¿øÀ¾",5610,11028,6027,5001,10428,5576,4852,600,451,149
"2021.10","ÆÄÁÖÀ¾",7409,14342,7852,6490,13604,7237,6367,738,615,123
"2021.10","±¤Åº¸é",6060,12875,7514,5361,11328,6196,5132,1547,1318,229
"2021.10","ÅºÇö¸é",7321,14429,8078,6351,13469,7305,6164,960,773,187
"2021.10","¿ù·Õ¸é",7394,10347,7053,3294,9717,6491,3226,630,562,68
"2021.10","Àû¼º¸é",3746,7712,4257,3455,7469,4071,3398,243,186,57
"2021.10","ÆÄÆò¸é",2113,4067,2218,1849,3874,2054,1820,193,164,29
"2021.10","Àå´Ü¸é",298,721,372,349,720,372,348,1,0,1
"2021.10","±³ÇÏµ¿",19302,48267,24594,23673,47416,23968,23448,851,626,225
"2021.10","¿îÁ¤1µ¿",20137,51019,25023,25996,50564,24786,25778,455,237,218
"2021.10","¿îÁ¤2µ¿",23948,63250,30795,32455,62991,30714,32277,259,81,178
"2021.10","¿îÁ¤3µ¿",34216,86924,42447,44477,86256,42143,44113,668,304,364
"2021.10","±ÝÃÌ1µ¿",12448,22906,12208,10698,22326,11924,10402,580,284,296
"2021.10","±ÝÃÌ2µ¿",13182,33160,16136,17024,32899,16036,16863,261,100,161
"2021.10","±ÝÃÌ3µ¿",11592,28126,14452,13674,27735,14232,13503,391,220,171
"2021.11","ÇÕ°è",211030,491859,251429,240430,481629,244290,237339,10230,7139,3091
"2021.11","¹®»êÀ¾",21858,49188,25243,23945,48440,24838,23602,748,405,343
"2021.11","Á¶¸®À¾",12997,30801,15909,14892,29745,15118,14627,1056,791,265
"2021.11","¹ý¿øÀ¾",5610,11035,6028,5007,10435,5579,4856,600,449,151
"2021.11","ÆÄÁÖÀ¾",7444,14379,7868,6511,13656,7266,6390,723,602,121
"2021.11","±¤Åº¸é",6053,12843,7492,5351,11289,6171,5118,1554,1321,233
"2021.11","ÅºÇö¸é",7314,14399,8058,6341,13448,7289,6159,951,769,182
"2021.11","¿ù·Õ¸é",7283,10223,7001,3222,9579,6427,3152,644,574,70
"2021.11","Àû¼º¸é",3749,7696,4248,3448,7456,4065,3391,240,183,57
"2021.11","ÆÄÆò¸é",2116,4064,2223,1841,3867,2054,1813,197,169,28
"2021.11","Àå´Ü¸é",300,724,375,349,723,375,348,1,0,1
"2021.11","±³ÇÏµ¿",20211,50813,25832,24981,49942,25193,24749,871,639,232
"2021.11","¿îÁ¤1µ¿",20772,51822,25394,26428,51360,25155,26205,462,239,223
"2021.11","¿îÁ¤2µ¿",23863,62982,30663,32319,62715,30578,32137,267,85,182
"2021.11","¿îÁ¤3µ¿",34288,86966,42435,44531,86294,42130,44164,672,305,367
"2021.11","±ÝÃÌ1µ¿",12410,22782,12150,10632,22190,11862,10328,592,288,304
"2021.11","±ÝÃÌ2µ¿",13171,33047,16082,16965,32788,15984,16804,259,98,161
"2021.11","±ÝÃÌ3µ¿",11591,28095,14428,13667,27702,14206,13496,393,222,171
"2021.12","ÇÕ°è",211916,493503,252231,241272,483245,245085,238160,10258,7146,3112
"2021.12","¹®»êÀ¾",21923,49193,25260,23933,48437,24852,23585,756,408,348
"2021.12","Á¶¸®À¾",13014,30807,15922,14885,29746,15126,14620,1061,796,265
"2021.12","¹ý¿øÀ¾",5621,11047,6035,5012,10443,5585,4858,604,450,154
"2021.12","ÆÄÁÖÀ¾",7479,14436,7887,6549,13718,7290,6428,718,597,121
"2021.12","±¤Åº¸é",6032,12768,7455,5313,11230,6143,5087,1538,1312,226
"2021.12","ÅºÇö¸é",7327,14408,8060,6348,13450,7288,6162,958,772,186
"2021.12","¿ù·Õ¸é",7138,10072,6890,3182,9438,6324,3114,634,566,68
"2021.12","Àû¼º¸é",3734,7664,4227,3437,7425,4044,3381,239,183,56
"2021.12","ÆÄÆò¸é",2125,4074,2233,1841,3872,2060,1812,202,173,29
"2021.12","Àå´Ü¸é",302,734,380,354,733,380,353,1,0,1
"2021.12","±³ÇÏµ¿",20678,52149,26522,25627,51269,25882,25387,880,640,240
"2021.12","¿îÁ¤1µ¿",21029,52229,25608,26621,51756,25361,26395,473,247,226
"2021.12","¿îÁ¤2µ¿",23886,62945,30641,32304,62676,30556,32120,269,85,184
"2021.12","¿îÁ¤3µ¿",34390,87119,42489,44630,86441,42178,44263,678,311,367
"2021.12","±ÝÃÌ1µ¿",12466,22794,12162,10632,22193,11873,10320,601,289,312
"2021.12","±ÝÃÌ2µ¿",13187,33044,16087,16957,32786,15988,16798,258,99,159
"2021.12","±ÝÃÌ3µ¿",11585,28020,14373,13647,27632,14155,13477,388,218,170
